Id,Category
31591.jpg,0
61985.jpg,0
26011.jpg,1
19158.jpg,1
68904.jpg,0
50666.jpg,1
54997.jpg,1
53046.jpg,0
32886.jpg,0
34639.jpg,1
71492.jpg,0
81287.jpg,0
61389.jpg,1
41300.jpg,1
22149.jpg,0
81444.jpg,1
29634.jpg,1
21233.jpg,1
98020.jpg,0
88318.jpg,1
15342.jpg,1
42534.jpg,0
54289.jpg,1
55466.jpg,1
16699.jpg,0
39493.jpg,0
18197.jpg,0
82584.jpg,1
11471.jpg,1
20775.jpg,1
35137.jpg,1
19451.jpg,1
21487.jpg,1
85897.jpg,1
52627.jpg,1
13891.jpg,0
64080.jpg,1
14316.jpg,1
49694.jpg,1
99903.jpg,0
71679.jpg,0
73204.jpg,1
63671.jpg,1
33673.jpg,1
77090.jpg,0
35777.jpg,1
45093.jpg,0
26038.jpg,0
26600.jpg,1
34148.jpg,0
66512.jpg,0
17937.jpg,0
21602.jpg,0
79659.jpg,0
86785.jpg,0
18967.jpg,0
15667.jpg,0
20802.jpg,1
60502.jpg,1
19522.jpg,0
75893.jpg,0
87968.jpg,0
65454.jpg,1
24403.jpg,1
26332.jpg,1
36529.jpg,1
36058.jpg,1
94353.jpg,1
96370.jpg,0
87051.jpg,1
34568.jpg,1
95483.jpg,1
69022.jpg,0
52559.jpg,1
82790.jpg,0
25305.jpg,0
89502.jpg,0
30214.jpg,0
21238.jpg,1
25092.jpg,1
93035.jpg,0
25560.jpg,0
63244.jpg,0
12028.jpg,0
52952.jpg,0
44171.jpg,1
59809.jpg,1
56938.jpg,0
89904.jpg,0
64600.jpg,0
40424.jpg,1
54479.jpg,1
14615.jpg,0
63471.jpg,1
77976.jpg,0
43906.jpg,0
22928.jpg,0
15277.jpg,1
14300.jpg,1
70152.jpg,1
69745.jpg,0
21494.jpg,0
62560.jpg,1
60585.jpg,1
46507.jpg,1
85499.jpg,1
85210.jpg,0
64855.jpg,0
74305.jpg,1
84313.jpg,1
84012.jpg,0
91859.jpg,0
56732.jpg,0
58211.jpg,1
34381.jpg,0
77700.jpg,0
73284.jpg,0
66182.jpg,1
77361.jpg,1
77382.jpg,1
45346.jpg,1
32912.jpg,1
51106.jpg,0
13582.jpg,1
64927.jpg,0
81563.jpg,0
75471.jpg,1
26285.jpg,1
35015.jpg,0
84634.jpg,1
91275.jpg,0
59768.jpg,0
83754.jpg,1
35761.jpg,0
36535.jpg,1
62322.jpg,0
99114.jpg,1
84739.jpg,0
68208.jpg,1
12487.jpg,0
22492.jpg,0
97167.jpg,1
12872.jpg,0
47988.jpg,0
63863.jpg,1
95016.jpg,1
12474.jpg,0
53432.jpg,0
92830.jpg,0
53346.jpg,0
66646.jpg,1
64988.jpg,1
80828.jpg,1
83500.jpg,1
75892.jpg,0
98777.jpg,1
61082.jpg,1
60733.jpg,1
34022.jpg,0
31267.jpg,1
99126.jpg,1
32110.jpg,1
18595.jpg,1
57245.jpg,1
99341.jpg,1
93806.jpg,1
28800.jpg,1
63259.jpg,0
27288.jpg,1
32579.jpg,0
62595.jpg,1
79091.jpg,1
45390.jpg,1
34525.jpg,1
51880.jpg,0
41262.jpg,0
59167.jpg,0
